epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.30253333333333343,1.5636217478665728,0.001,0.286,1.5869428964063046
2,0.31173333333333325,1.5524454464646973,0.001,0.304,1.5692281252057014
3,0.3090666666666667,1.5540388491743524,0.001,0.286,1.5700900642135414
4,0.3265333333333333,1.5488570551156782,0.001,0.28,1.5593904282878965
5,0.3118666666666667,1.5517192669361128,0.001,0.296,1.5660259169669737
6,0.3196000000000001,1.551561778526781,0.001,0.318,1.5601261986784707
7,0.31906666666666683,1.5480465450369072,0.001,0.288,1.5754726718484697
8,0.3236,1.5427432019059382,0.001,0.324,1.5680426770634162
9,0.3222666666666666,1.5454864053986412,0.001,0.272,1.568641455274359
10,0.32959999999999995,1.5414442971338622,0.001,0.336,1.5574611759629848
11,0.3349333333333333,1.5399716441280598,0.001,0.262,1.5790790045589793
12,0.3400000000000002,1.5381955372256808,0.001,0.304,1.5559628014192188
13,0.3298666666666668,1.542359268519259,0.001,0.31,1.5530169034370551
14,0.3098666666666666,1.5591999436569954,0.001,0.274,1.5581702055470883
15,0.3348,1.5416719983548008,0.001,0.31,1.5516968691114184
16,0.32626666666666665,1.5453234693703168,0.001,0.296,1.5681770202660683
17,0.33093333333333336,1.543300868431352,0.001,0.306,1.5541571070792437
18,0.3310666666666666,1.5405940409912364,0.001,0.334,1.543667997796407
19,0.33733333333333326,1.5366615891177247,0.001,0.318,1.5479736605660361
20,0.34346666666666664,1.5367527082755017,0.001,0.326,1.5409998772068334
21,0.34840000000000004,1.5304340969699581,0.001,0.284,1.5739743645208124
22,0.34666666666666657,1.5301521252824926,0.001,0.352,1.5391392249845262
23,0.3464000000000001,1.5363224325957288,0.001,0.318,1.5466125516994287
24,0.33533333333333337,1.5377806748255454,0.001,0.274,1.5763772373318634
25,0.3385333333333332,1.5347663359478358,0.001,0.272,1.5717757291712064
26,0.3454666666666666,1.5367282927664923,0.001,0.284,1.5607625566502639
27,0.32866666666666655,1.543594590926426,0.001,0.364,1.5356883403705612
28,0.34253333333333325,1.532773025106695,0.001,0.27,1.5816738276651117
29,0.34986666666666666,1.5340260428309325,0.001,0.336,1.5374727942318778
30,0.34493333333333337,1.535445368388474,0.001,0.348,1.5245269196696665
31,0.34639999999999993,1.5306470199859274,0.001,0.326,1.5586798348595532
32,0.3396,1.5324742143036085,0.001,0.344,1.524365956697445
33,0.3409333333333334,1.5356475931970408,0.001,0.324,1.552165854639849
34,0.35386666666666655,1.5260682599287125,0.001,0.364,1.5273114596453174
35,0.3566666666666666,1.5220704522114719,0.001,0.334,1.5510562954317608
36,0.35599999999999987,1.5261393848610247,0.001,0.322,1.5464343625835917
37,0.3469333333333332,1.5293590708870513,0.001,0.34,1.542057984945972
38,0.36626666666666674,1.5237567150580842,0.001,0.304,1.554396062225062
39,0.3747999999999999,1.5182514875963165,0.001,0.394,1.5230668834645
40,0.3642666666666667,1.5254350007291704,0.001,0.29,1.5529835379314056
41,0.34453333333333314,1.533648359103386,0.001,0.318,1.55335515337033
42,0.3622666666666667,1.5215767250023375,0.001,0.368,1.5267706816479238
43,0.36106666666666665,1.5183270929828105,0.001,0.372,1.5217811355857271
44,0.3749333333333334,1.5168669278885218,0.001,0.348,1.5433894629573162
45,0.36506666666666665,1.523366434434741,0.001,0.328,1.542224029319829
46,0.35959999999999986,1.5234540997751014,0.001,0.37,1.5324727927939572
47,0.36879999999999996,1.5219171853448208,0.001,0.366,1.5182818420116675
48,0.3761333333333333,1.5112677690695728,0.001,0.358,1.5321899624469306
49,0.38079999999999997,1.508120007274077,0.001,0.356,1.5331080723157093
50,0.3856000000000001,1.513129761484696,0.001,0.332,1.5311273968191914
51,0.36226666666666674,1.5228177030039924,0.001,0.362,1.5396762001793771
52,0.38653333333333334,1.5126701182220252,0.001,0.35,1.5482291625720497
53,0.36479999999999974,1.518032994408754,0.001,0.362,1.5274844000258554
54,0.37133333333333335,1.5180719337915616,0.001,0.322,1.5513131204610409
55,0.37066666666666664,1.5173160149490486,0.001,0.342,1.5252120398278943
56,0.3868,1.5159410008605425,0.001,0.362,1.5234502695580872
57,0.3804,1.5127015719360326,0.001,0.352,1.547640168582017
58,0.3951999999999999,1.5090538440185552,0.001,0.398,1.5148016846490033
59,0.3776,1.5100074692445458,0.001,0.348,1.5256271236025847
60,0.36906666666666665,1.5243394292535113,0.001,0.332,1.5335862976226184
61,0.3738666666666665,1.5144413581857912,0.001,0.346,1.5346096009864905
62,0.3950666666666667,1.5076081052208832,0.001,0.332,1.541128879347723
63,0.3809333333333332,1.5108138225602057,0.001,0.356,1.5279191696940546
64,0.384,1.5070831539678793,0.001,0.318,1.5382298900469893
65,0.382,1.5150892457486491,0.001,0.332,1.5416132376723553
66,0.39173333333333354,1.5066404113306373,0.001,0.342,1.5343123793673143
67,0.39399999999999985,1.5029638611443619,0.001,0.348,1.5298614174556449
68,0.39400000000000013,1.5004495185584557,0.001,0.344,1.5515346590669492
69,0.4051999999999999,1.4953892916489837,0.001,0.372,1.5070061601604283
70,0.3910666666666668,1.505996417294739,0.001,0.37,1.5303200105976065
71,0.3929333333333333,1.5088862776595633,0.001,0.366,1.5210736307870858
72,0.4092,1.5017775277904712,0.001,0.382,1.5113016806457638
73,0.3964000000000001,1.5014509864656527,0.001,0.372,1.5179269674816664
74,0.38879999999999987,1.506245614751224,0.001,0.37,1.522485023783447
75,0.37586666666666674,1.5060369626097094,0.001,0.394,1.515831141676627
76,0.4143999999999999,1.4945469527251602,0.001,0.37,1.5262276054380763
77,0.40893333333333337,1.498376144406645,0.001,0.364,1.5194392192788813
78,0.36559999999999987,1.5222863668834616,0.001,0.37,1.5223708024209566
79,0.3851999999999999,1.508418127504342,0.0005,0.376,1.5211661617791468
80,0.39359999999999995,1.5064153744944455,0.0005,0.382,1.5056723870774742
81,0.4042666666666666,1.5012729914245808,0.0005,0.342,1.5204992811819422
82,0.39533333333333326,1.503800670835379,0.0005,0.36,1.5342187530399574
83,0.41293333333333315,1.4935295834262698,0.0005,0.402,1.4979515250444586
84,0.3953333333333333,1.4978622875013354,0.0005,0.412,1.5128699869265847
85,0.41720000000000007,1.4894049902495758,0.0005,0.358,1.535938794101044
86,0.3975999999999999,1.5007327071306387,0.0005,0.344,1.5300015378178558
87,0.4161333333333333,1.4909845525503185,0.0005,0.346,1.5352563890016746
88,0.42386666666666634,1.4893756218530705,0.0005,0.358,1.519577099562924
89,0.41959999999999986,1.485995367784493,0.0005,0.358,1.5232202610349863
90,0.41746666666666676,1.488796909277678,0.0005,0.34,1.5300820609416323
91,0.4268,1.4845127129130722,0.0005,0.394,1.514853430303153
92,0.4316,1.4850937776610218,0.0005,0.37,1.5177587242159145
93,0.4217333333333332,1.4851699222907908,0.0005,0.348,1.5363084831294835
94,0.42413333333333353,1.4844108358147523,0.0005,0.332,1.5316573601716528
95,0.41959999999999986,1.4952269397276314,0.0005,0.418,1.504078902205481
96,0.41546666666666665,1.4877073500437341,0.0005,0.346,1.520270526936075
97,0.4188000000000002,1.4820348966043186,0.0005,0.362,1.5242498737896615
98,0.4077333333333333,1.4977231182858608,0.0005,0.378,1.5207210655385706
99,0.4241333333333334,1.480975793032827,0.0005,0.37,1.509026959523858
100,0.4103999999999999,1.4881619508658306,0.0005,0.374,1.5199981718945312
101,0.42973333333333336,1.4797550511466377,0.0005,0.366,1.513889210317212
102,0.4043999999999998,1.5036363326042976,0.0005,0.364,1.5241010629042948
103,0.4143999999999999,1.4871381949076994,0.0005,0.39,1.5116349559157283
104,0.4117333333333332,1.4879416372973575,0.0005,0.36,1.5312619242356922
105,0.41840000000000016,1.4895790335102927,0.0005,0.374,1.514220342143595
106,0.42333333333333345,1.4875287741937888,0.0005,0.372,1.523729486539187
107,0.4165333333333333,1.489264753861582,0.0005,0.372,1.5149264181658455
108,0.42560000000000003,1.4806142649412708,0.0005,0.362,1.5298255477963456
109,0.4241333333333332,1.4767023268617194,0.0005,0.374,1.5295907552115668
110,0.4168,1.4870117399857228,0.0005,0.384,1.5169254877144966
111,0.41546666666666676,1.483338497390613,0.0005,0.36,1.5215421658632549
112,0.40013333333333334,1.4936392254312556,0.0005,0.366,1.5330877291119045
113,0.39986666666666665,1.5013502487027972,0.0005,0.358,1.5219065153975582
114,0.39773333333333355,1.4980858926791567,0.0005,0.356,1.5280041154042125
115,0.42759999999999976,1.476674553835014,0.0005,0.374,1.526288715942162
116,0.4157333333333333,1.486723080481857,0.00025,0.376,1.5073408245483593
117,0.41640000000000016,1.4879326854657702,0.00025,0.36,1.5146700747517203
118,0.44879999999999975,1.4679412726696284,0.00025,0.368,1.5208166088021031
119,0.43986666666666685,1.477037892429093,0.00025,0.388,1.5036582847274031
120,0.4093333333333333,1.4888026365224667,0.00025,0.416,1.5030292144913866
121,0.4390666666666667,1.4725879336442276,0.00025,0.372,1.506390153308708
122,0.4265333333333332,1.4777959762859925,0.00025,0.384,1.5136098881487272
123,0.4165333333333332,1.4824632661905717,0.00025,0.354,1.5106663418179889
124,0.43040000000000006,1.4816641908678185,0.00025,0.378,1.5232432759536232
125,0.4272000000000001,1.4810734911664452,0.00025,0.404,1.5142790649925424
126,0.43093333333333367,1.4790701839420957,0.00025,0.388,1.516606392900922
127,0.4086666666666668,1.49029655459182,0.00025,0.368,1.5146274732708274
128,0.4123999999999998,1.4925446128618236,0.00025,0.392,1.509642789004117
129,0.4113333333333333,1.4823954629190113,0.00025,0.374,1.5105029599354183
130,0.41119999999999984,1.4893010428907665,0.00025,0.38,1.5221717706758957
131,0.41973333333333324,1.4863570101024874,0.00025,0.354,1.5272922615792777
132,0.43559999999999993,1.4765466401039695,0.00025,0.368,1.5223360816332636
133,0.4086666666666668,1.4922890153963742,0.00025,0.388,1.5046686448748752
134,0.4179999999999998,1.4843343111975897,0.00025,0.382,1.51423062697716
135,0.4149333333333335,1.4799074557530103,0.00025,0.38,1.507824751845053
136,0.4226666666666665,1.481009903263288,0.000125,0.374,1.5141620489871124
137,0.4362666666666668,1.479610415879057,0.000125,0.364,1.5216197580008357
138,0.4357333333333331,1.477417790600091,0.000125,0.38,1.5088163129334293
139,0.43333333333333335,1.47654072869619,0.000125,0.388,1.5025462646666419
140,0.4329333333333332,1.4732643777828474,0.000125,0.384,1.506068133436933
141,0.42093333333333327,1.4792057975263753,0.000125,0.382,1.5155982595120507
142,0.41146666666666654,1.486616392310163,0.000125,0.392,1.505759138401741
143,0.4411999999999999,1.4704130493204741,0.000125,0.38,1.5188655407489515
144,0.42599999999999993,1.4790013474325039,0.000125,0.394,1.5123085507195027
145,0.4438666666666668,1.4673665961120756,0.000125,0.396,1.4970483576194542
146,0.4323999999999998,1.4732254514823464,0.000125,0.422,1.5002614402491932
147,0.42546666666666655,1.4764725778001786,0.000125,0.406,1.5100962430326232
148,0.4402666666666666,1.4700561113412247,0.000125,0.372,1.5153962337952567
149,0.4238666666666665,1.474798289853647,0.000125,0.396,1.5043293128629516
150,0.4145333333333332,1.4823709966674854,0.000125,0.342,1.5285826000049603
151,0.4389333333333332,1.469013545057559,0.000125,0.408,1.5075935512212248
152,0.4309333333333334,1.4791783348500869,0.000125,0.388,1.506373559654175
153,0.4122666666666665,1.4876413028310467,0.000125,0.38,1.5095483594349035
154,0.4236,1.4753551123727988,0.000125,0.4,1.5134576264111677
155,0.4310666666666665,1.471370298788953,0.000125,0.398,1.5132925029559376
156,0.41919999999999996,1.4865549768130177,0.000125,0.364,1.5183586998672114
157,0.4378666666666664,1.4686269877844682,0.000125,0.406,1.5144435016808586
158,0.4295999999999998,1.474165132447648,0.000125,0.396,1.506580460039752
159,0.45186666666666647,1.4629957631586645,0.000125,0.37,1.521003808404166
160,0.4439999999999999,1.4629864871438227,0.000125,0.36,1.504292083202578
161,0.42813333333333325,1.476994425707734,0.000125,0.394,1.5062818253131995
162,0.446,1.4641685291449327,0.000125,0.412,1.5062389498118127
163,0.43626666666666675,1.4642344893408108,0.000125,0.36,1.5053902462063677
164,0.4212,1.4785941971607852,0.000125,0.452,1.4894290851521212
165,0.42533333333333323,1.4830359131743416,0.000125,0.4,1.517758471914017
166,0.42386666666666684,1.478228034189254,0.000125,0.426,1.4930497077938047
167,0.4423999999999998,1.464733293624952,0.000125,0.388,1.5149984539647683
168,0.4477333333333334,1.4661892052443741,0.000125,0.368,1.5183668327184558
169,0.4289333333333335,1.4813317879339245,0.000125,0.358,1.5165918322476497
170,0.4222666666666667,1.4726360396207472,0.000125,0.4,1.5147767941155517
171,0.4288,1.4743965156300585,0.000125,0.398,1.4939988886922955
172,0.4264000000000002,1.478730727430759,0.000125,0.39,1.4978875512786383
173,0.44999999999999984,1.4629047050223418,0.000125,0.392,1.5021242752528836
174,0.42026666666666673,1.481418995024479,0.000125,0.396,1.5171271813961205
175,0.41866666666666674,1.4779686596138157,0.000125,0.4,1.5174999681760448
176,0.44373333333333326,1.4706062277702292,0.000125,0.358,1.5244677223537118
177,0.4481333333333334,1.4626231143616124,0.000125,0.366,1.5116558835946803
178,0.4182666666666666,1.4814038316432816,0.000125,0.372,1.5102394056466344
179,0.43080000000000007,1.4715109035185645,0.000125,0.43,1.5056873586519353
180,0.4310666666666665,1.4749761281788485,0.000125,0.376,1.511975731059496
181,0.41266666666666657,1.4878923289726196,0.000125,0.408,1.5074405462333111
182,0.41319999999999985,1.4777252097715772,0.000125,0.342,1.5330755103948688
183,0.4286666666666666,1.463750711148351,0.000125,0.422,1.4964433952842444
184,0.4317333333333333,1.472279673498552,0.000125,0.368,1.5036790992619968
185,0.4365333333333334,1.4728941523815189,0.000125,0.412,1.4934448997593803
186,0.4326666666666666,1.4741595463889765,0.000125,0.402,1.5096530112883688
187,0.43493333333333334,1.4648524039310897,0.000125,0.38,1.5095533531204326
188,0.4296000000000001,1.4751557685047185,0.000125,0.396,1.5020225482602454
189,0.4322666666666667,1.4734718013507213,0.000125,0.408,1.502725814006945
190,0.4525333333333335,1.4608010975611339,0.000125,0.382,1.5111698970711889
191,0.4361333333333331,1.4799818287407671,0.000125,0.344,1.5111483352541397
192,0.44373333333333337,1.4619852212191864,0.000125,0.354,1.5204476377592824
193,0.4366666666666665,1.4688542578265242,0.000125,0.394,1.5104776080454958
194,0.4466666666666667,1.467558408695414,0.000125,0.378,1.520402211372024
195,0.4337333333333334,1.468259755940581,0.000125,0.386,1.5115295457838414
196,0.4343999999999999,1.4698977448831625,0.000125,0.35,1.5104188454651497
197,0.43213333333333326,1.4793868831880304,0.000125,0.412,1.4930496789603442
198,0.42826666666666646,1.4751252215350752,0.000125,0.426,1.495792566808228
199,0.4266666666666669,1.476932008114263,0.000125,0.396,1.5100641618960855
200,0.43293333333333345,1.4718098800219659,0.000125,0.382,1.5123569420884124
