epoch,categorical_accuracy,loss,lr,val_1-shot_10-way_acc,val_loss
1,0.41946666666666665,2.067834829182815,0.001,0.32,2.1279443386310213
2,0.4246666666666667,2.0448015689888326,0.001,0.353,2.083867826943705
3,0.45400000000000007,2.0226422107938435,0.001,0.388,2.0553399692035415
4,0.46079999999999993,2.016736213181247,0.001,0.385,2.0563617740176765
5,0.4819999999999999,2.0023926907910674,0.001,0.398,2.0580313231126706
6,0.4612000000000001,2.0244483462001286,0.001,0.41,2.135767580291246
7,0.4750666666666668,2.0016033539278655,0.001,0.399,2.141731800423079
8,0.5131333333333334,1.9944615882425805,0.001,0.409,2.072728099226482
9,0.5086666666666668,1.9934086934941668,0.001,0.423,2.024483257720221
10,0.5240666666666667,1.9869769647187345,0.001,0.427,2.0252883396896406
11,0.5295999999999998,1.983086134538606,0.001,0.461,2.0040362105886165
12,0.5394000000000002,1.9735317300572661,0.001,0.438,2.017650904058781
13,0.5406666666666665,1.9746371429474423,0.001,0.404,2.0631461891695544
14,0.5322000000000002,1.9743497746744807,0.001,0.43,2.0292214148774392
15,0.5442666666666669,1.9679666581944795,0.001,0.44,2.0064782340065532
16,0.5501333333333334,1.959805358840476,0.001,0.421,2.0265827015680804
17,0.5552000000000001,1.9514049446934463,0.001,0.406,2.115133044404177
18,0.5439333333333335,1.9612392558708374,0.001,0.507,1.9553212043274337
19,0.5488666666666667,1.9490345592646992,0.001,0.435,1.991050990927214
20,0.5517333333333332,1.9443284618098227,0.001,0.444,2.0287518591813574
21,0.5635333333333332,1.9432705146978868,0.001,0.38,2.1018183307649863
22,0.5750666666666666,1.9403510522317233,0.001,0.458,2.0632595629326422
23,0.5686666666666667,1.934636677485325,0.001,0.467,2.0038582522495987
24,0.5639333333333334,1.9366910165111788,0.001,0.489,1.9803440651280504
25,0.5753333333333334,1.9261135592413845,0.001,0.402,2.0684956922039595
26,0.5636666666666663,1.9327997639072916,0.001,0.43,2.0211131305866066
27,0.5610666666666666,1.9184123538260751,0.001,0.445,1.998806830564827
28,0.5649999999999998,1.92395712398612,0.001,0.463,1.9803934663413887
29,0.5822666666666669,1.923543977403147,0.001,0.377,2.2013938855262976
30,0.5849333333333333,1.9177656124744888,0.001,0.451,2.0287789009164747
31,0.581,1.908430597552707,0.001,0.464,1.9892832942444705
32,0.5878666666666666,1.9066008144914317,0.001,0.461,1.9930017038857184
33,0.5930666666666665,1.913041829068033,0.001,0.451,2.023180572330929
34,0.5780666666666665,1.914459448918546,0.001,0.441,2.0409485310621323
35,0.6019333333333335,1.8941273492943156,0.001,0.412,2.077606740340516
36,0.5902,1.900571353017007,0.001,0.51,1.9550151121191748
37,0.6095333333333331,1.894380669304974,0.001,0.464,1.980045233970568
38,0.6057333333333335,1.8872225857981957,0.001,0.467,1.9696020687218856
39,0.591,1.9035603099162188,0.001,0.455,1.993997987194673
40,0.6162666666666666,1.8908044062064613,0.001,0.385,2.1116257888148793
41,0.5986,1.8928289584764104,0.001,0.384,2.092939015861978
42,0.6172666666666667,1.884643836559969,0.001,0.494,1.9563375419541953
43,0.6129333333333333,1.8842297344167895,0.001,0.478,1.9833404862905317
44,0.6028666666666664,1.8840469425573756,0.001,0.501,1.9953212324525609
45,0.6304666666666668,1.872927773481413,0.001,0.443,2.0041378592262142
46,0.6419999999999999,1.860718860888197,0.001,0.405,2.0380756480766244
47,0.6376666666666666,1.8732129848210348,0.001,0.442,2.0141309630336304
48,0.6212666666666664,1.8681738769420957,0.001,0.427,2.0813306500125175
49,0.6456666666666666,1.858129293596078,0.001,0.442,2.011168603896136
50,0.6485333333333334,1.8553422964619295,0.001,0.462,1.9670725968423748
51,0.6407333333333334,1.8681771080016611,0.001,0.452,1.9842871553567711
52,0.6513999999999999,1.8516976639414735,0.001,0.485,1.9671547042395834
