epoch,categorical_accuracy,loss,lr,val_5-shot_5-way_acc,val_loss
1,0.5399999999999998,18.410624584924673,0.001,0.726,0.3670606141230006
2,0.6498666666666665,0.40537209998421714,0.001,0.786,0.35414760715037413
3,0.6918666666666666,0.3885574747303131,0.001,0.788,0.3614409118268614
4,0.6932000000000003,0.38451069046415365,0.001,0.778,0.34841876120181775
5,0.6929333333333335,0.3808504545399812,0.001,0.756,0.3545763886209326
6,0.7022666666666667,0.3774487953002034,0.001,0.742,0.357371195280756
7,0.7157333333333332,0.3734113480389942,0.001,0.814,0.3437681334520542
8,0.7182666666666668,0.3626458010974574,0.001,0.774,0.3405852008791999
9,0.731866666666667,0.3611611228183547,0.001,0.764,0.3395578549024304
10,0.7386666666666665,0.35233936666789434,0.001,0.808,0.34069363609985465
11,0.7326666666666665,0.35460933073292966,0.001,0.756,0.3501672521776271
12,0.7464,0.3537301809202814,0.001,0.778,0.3467347300661366
13,0.7432000000000001,0.35034032733859355,0.001,0.742,0.36031433587311495
14,0.7513333333333334,0.3468374808931629,0.001,0.792,0.33817614175386845
15,0.7795999999999995,0.34073369854576413,0.001,0.796,0.3573550877989774
16,0.7630666666666669,0.34458209777369964,0.001,0.804,0.3439706342738442
17,0.7975999999999995,0.33046851710562586,0.001,0.796,0.32929023124837825
18,0.7817333333333335,0.3354500030538075,0.001,0.758,0.35254129980996435
19,0.7872000000000001,0.3315446625357135,0.001,0.788,0.3346038700419876
20,0.7927999999999994,0.332906180153958,0.001,0.77,0.34271585757360906
21,0.7925333333333333,0.3350589708786503,0.001,0.738,0.3759191452691632
22,0.8104000000000002,0.3276737201580074,0.001,0.774,0.3485790481686847
23,0.8161333333333332,0.32215639040963473,0.001,0.756,0.33566079290751755
24,0.8294666666666667,0.3195086507728926,0.001,0.746,0.356146954596539
25,0.8182666666666667,0.3183078177820702,0.001,0.742,0.35824233449801474
26,0.8399999999999999,0.31684490631981055,0.001,0.788,0.3464001446393086
27,0.8322666666666665,0.31115107098529665,0.001,0.748,0.35191225444128754
28,0.8227999999999998,0.3146373641955128,0.001,0.76,0.3495403192831322
29,0.8301333333333334,0.31517249062655517,0.001,0.72,0.3463596028616534
30,0.8309333333333335,0.3102645810509896,0.001,0.772,0.3479611807676517
31,0.8497333333333335,0.30419240607834364,0.001,0.738,0.35134506608004024
32,0.8373333333333334,0.30955494737654293,0.001,0.766,0.35413064098104274
33,0.8457333333333333,0.306087825262402,0.001,0.77,0.357701450786687
34,0.8333333333333331,0.3073005810564733,0.001,0.776,0.347853495699754
35,0.8354666666666668,0.3128428388267023,0.001,0.728,0.35255942025748743
36,0.8776,0.2954496003461526,0.001,0.754,0.3612226326360839
37,0.8457333333333332,0.30826619859202176,0.001,0.716,0.3624983149182976
38,0.8780000000000001,0.2945471911641032,0.001,0.736,0.3579322192793901
39,0.8624000000000003,0.296266613186857,0.001,0.74,0.3511827315195774
40,0.8798666666666662,0.2878274247970975,0.0005,0.706,0.37426066351964377
41,0.8670666666666668,0.2934836495473521,0.0005,0.742,0.35900446558065235
42,0.8815999999999997,0.28674126476845474,0.0005,0.7,0.3589437290568787
43,0.8761333333333329,0.28582822981888634,0.0005,0.722,0.3698695260923595
44,0.8887999999999995,0.2799013297783249,0.0005,0.71,0.3690998953936329
45,0.8935999999999998,0.27907807745761054,0.0005,0.738,0.3621746989050728
46,0.8916,0.2783307938874403,0.0005,0.73,0.37148707428856825
47,0.8874666666666665,0.2808405721364389,0.0005,0.742,0.3643317645063619
48,0.8969333333333331,0.27807740976783313,0.0005,0.696,0.3611762379487441
49,0.8912,0.281379118714042,0.0005,0.744,0.3635769014462898
50,0.8936,0.2786149183876805,0.0005,0.73,0.35990888238084967
51,0.9001333333333335,0.2767884660119726,0.0005,0.772,0.3506288482269169
52,0.8975999999999995,0.2774173173962568,0.0005,0.764,0.3523518776864262
53,0.8865333333333335,0.28037235322093035,0.0005,0.778,0.36391952851483267
54,0.8929333333333331,0.28136343105332867,0.0005,0.708,0.36848376161745733
55,0.9083999999999999,0.2716229272737815,0.0005,0.726,0.36375438777689945
56,0.9011999999999993,0.27899583764012165,0.0005,0.738,0.3638986869398294
57,0.8968000000000003,0.27558325848526577,0.0005,0.734,0.362922975706934
58,0.9148,0.2674136768581825,0.0005,0.72,0.3636855639114514
59,0.9103999999999999,0.2663369317379965,0.0005,0.73,0.36247735315863
60,0.9112,0.2722421496966236,0.0005,0.686,0.39431875735338456
61,0.9055999999999996,0.27016672267080044,0.0005,0.706,0.36397936774498973
62,0.9090666666666665,0.2703601198297871,0.0005,0.77,0.3576808074931328
63,0.9066666666666663,0.2698671168034025,0.0005,0.712,0.3641684045200729
64,0.8965333333333334,0.2741922938821405,0.0005,0.712,0.36905475563342743
65,0.9028,0.27243198234353505,0.0005,0.712,0.3627778409101292
66,0.9178666666666664,0.26767650362601747,0.0005,0.728,0.3637695204462986
67,0.9076,0.2721763297733022,0.0005,0.68,0.37496207699858275
68,0.9213333333333332,0.26232756146660574,0.0005,0.716,0.3734103513214636
69,0.9225333333333332,0.25954555508405586,0.0005,0.656,0.3780830842941298
70,0.9138666666666667,0.2686662762151055,0.0005,0.67,0.3874390129364706
71,0.9249333333333328,0.26581270903226345,0.0005,0.712,0.3710499922277261
72,0.9257333333333334,0.26287289590510204,0.0005,0.698,0.37868998713387725
73,0.9200000000000002,0.26413604797210244,0.0005,0.668,0.3781250236747442
74,0.921466666666667,0.2619672346974399,0.0005,0.702,0.3875565420679774
75,0.926133333333333,0.2587021604834552,0.0005,0.684,0.37995488989069
76,0.9195999999999998,0.2648311919256661,0.0005,0.72,0.36744343815864383
77,0.9094666666666662,0.26856105758995363,0.0005,0.692,0.3708698938785823
78,0.9355999999999999,0.2553778147317469,0.0005,0.706,0.3733847221017594
79,0.9252000000000001,0.2586209053155686,0.0005,0.738,0.3648448068453126
80,0.931466666666666,0.25607280361888446,0.00025,0.72,0.3663411317555476
81,0.9317333333333333,0.2519769063625852,0.00025,0.698,0.3725495245947637
82,0.9185333333333334,0.25590696965222454,0.00025,0.69,0.3710759907719602
83,0.9436,0.2460772699632216,0.00025,0.692,0.37416111733284163
84,0.9311999999999995,0.2516538799675,0.00025,0.694,0.38396215923816057
85,0.9359999999999999,0.24592280896251073,0.00025,0.656,0.38883226008662275
86,0.9234666666666667,0.2523120341705518,0.00025,0.716,0.37481147070686255
87,0.9369333333333332,0.24684701320665184,0.00025,0.704,0.3740290104072266
88,0.9267999999999996,0.2511058392022627,0.00025,0.71,0.3784315549058778
89,0.9334666666666667,0.25311998953713605,0.00025,0.696,0.37823227488242883
90,0.9402666666666661,0.24415071546552108,0.00025,0.686,0.37315990392030374
91,0.9298666666666665,0.2473219330446796,0.00025,0.706,0.37631461910248043
92,0.9315999999999994,0.25170853185928294,0.00025,0.676,0.38460150537375043
93,0.9368,0.24749785108360844,0.00025,0.712,0.37603538564549366
94,0.9294666666666664,0.25106115518791056,0.00025,0.71,0.3637951029396087
95,0.9338666666666665,0.2470152619782723,0.00025,0.716,0.36551584284555766
96,0.9410666666666667,0.240768160853968,0.00025,0.684,0.38199981449132653
97,0.932933333333333,0.24518292396763386,0.00025,0.726,0.37183772044380087
98,0.945733333333333,0.24023692265725105,0.00025,0.704,0.37063925642611983
99,0.9467999999999996,0.24075163136204708,0.00025,0.718,0.3725440190481641
100,0.9261333333333329,0.25480304217002464,0.00025,0.692,0.3752010636075262
101,0.9434666666666662,0.24084338544423223,0.00025,0.664,0.3768225064352322
