epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.5474666666666667,4.9399554192191,0.001,0.456,2.581483089977166
2,0.5998666666666668,1.2694966014979658,0.001,0.548,1.804046690616302
3,0.6184666666666666,1.179080649314331,0.001,0.61,1.2844548506812672
4,0.6367333333333332,1.076961848814513,0.001,0.612,1.5701885604753936
5,0.6586666666666665,1.040965378893014,0.001,0.598,1.3779415798136208
6,0.6597999999999999,1.0047391894927837,0.001,0.63,1.3042840995516145
7,0.6794666666666669,0.943741082311844,0.001,0.636,1.253774598958132
8,0.7038666666666668,0.8642675615894412,0.001,0.658,1.361129785992329
9,0.7118666666666666,0.8460156065756544,0.001,0.644,1.2386429401373145
10,0.7108,0.8392490143762176,0.001,0.644,1.4830922079992306
11,0.7069333333333339,0.8381688502098613,0.001,0.594,1.5642723744079579
12,0.7173333333333334,0.834258506686007,0.001,0.66,1.116473892776075
13,0.7215333333333332,0.8025910817877311,0.001,0.66,1.2180239825347368
14,0.7208666666666665,0.804586978481244,0.001,0.7,1.0031511280500232
15,0.7233333333333336,0.7744100636487846,0.001,0.652,1.1198526185752837
16,0.7217333333333336,0.7885280905614563,0.001,0.67,1.130889080303068
17,0.7390666666666665,0.7502659974213336,0.001,0.674,1.1633311955546164
18,0.7375999999999999,0.7526693708446476,0.001,0.694,1.189334899355343
19,0.7435999999999997,0.7335080606780912,0.001,0.646,1.3596478851605789
20,0.7525333333333335,0.7089305529829933,0.001,0.658,1.4670105279168282
21,0.7628,0.6762472779006061,0.001,0.626,1.3676388050493282
22,0.7699333333333331,0.6493595782611712,0.001,0.67,1.3778510876317933
23,0.7677333333333336,0.6582961428645189,0.001,0.7,1.131775233090134
24,0.7585333333333335,0.7030541222994987,0.001,0.682,1.1793919307774676
25,0.7696000000000001,0.6643245715455535,0.001,0.67,1.3530759046259664
26,0.7879333333333329,0.6140651017209636,0.001,0.654,1.135472590454418
27,0.7843333333333338,0.6121963602361835,0.001,0.64,1.256079910311029
28,0.7767999999999999,0.6411998330441494,0.001,0.6,1.789781049361345
29,0.7880666666666666,0.6052590773769781,0.001,0.622,1.4425009740197443
30,0.7838666666666667,0.6213355555421839,0.001,0.636,1.675423029359619
31,0.7921333333333328,0.5851537823375214,0.001,0.606,1.7857773236410774
32,0.8068666666666665,0.5535947322727924,0.001,0.676,1.3477439315977486
33,0.7892000000000005,0.5932152705518916,0.001,0.672,1.1825661226106088
34,0.801533333333333,0.5707918825556202,0.001,0.654,1.3714744803144028
35,0.8098000000000003,0.5385865218744315,0.001,0.608,1.777347787190706
36,0.8161999999999998,0.5196225270714675,0.001,0.656,1.6590861944918134
37,0.8132666666666668,0.5316847633235399,0.001,0.632,1.6908490231938265
38,0.8085333333333328,0.547563623114488,0.001,0.598,2.052185464034455
39,0.814466666666667,0.5274830179897569,0.001,0.648,1.5780958735059125
40,0.828,0.4839521795329977,0.0005,0.628,1.4482219552516562
41,0.8259333333333335,0.5016906646072996,0.0005,0.642,1.3976674642544222
42,0.8417333333333338,0.4489664343313205,0.0005,0.64,1.8080539543814447
43,0.8377999999999999,0.45652287543102577,0.0005,0.668,1.3861786408528154
44,0.8353333333333336,0.47320200705590926,0.0005,0.628,1.3736777048201563
45,0.8347333333333333,0.47043325092918464,0.0005,0.612,1.4944798320559027
46,0.8450000000000004,0.4486774772345148,0.0005,0.584,1.8073278524989358
47,0.8532000000000001,0.4259202668189331,0.0005,0.594,1.9766649406810797
48,0.8532000000000002,0.4189637995205158,0.0005,0.622,1.633216305465305
49,0.8439333333333336,0.4469077480735586,0.0005,0.586,1.8098023001851338
50,0.8355333333333335,0.4737236746814865,0.0005,0.526,1.9292122643219463
51,0.8510000000000001,0.4254548012639308,0.0005,0.654,1.61196257420609
52,0.8632666666666663,0.39730353825706083,0.0005,0.604,1.9810739747127055
53,0.8669333333333331,0.3846015184291577,0.0005,0.644,1.3986562999287937
54,0.8709999999999998,0.36990765395901926,0.0005,0.62,1.7747179970185814
55,0.8564666666666665,0.3945710270479384,0.0005,0.57,2.0612324912600415
56,0.866666666666667,0.3829923220721524,0.0005,0.634,1.6823836222922428
57,0.8517333333333335,0.4156811654284959,0.0005,0.624,1.7891915114203214
58,0.8676000000000004,0.37560464652415976,0.0005,0.628,2.0103941231688163
59,0.8711999999999999,0.36674074664711426,0.0005,0.666,1.4568966300903152
60,0.8695999999999999,0.3706967978601641,0.0005,0.61,1.6673509113015168
61,0.8673333333333333,0.38045352790384146,0.0005,0.608,1.8085949059811275
62,0.8618000000000002,0.38720257352988846,0.0005,0.6,1.9185613065065767
63,0.8710000000000002,0.36673856380865805,0.0005,0.626,2.008499246875652
64,0.8702,0.366082604365549,0.0005,0.594,1.8555227099243312
65,0.8753333333333333,0.33582752541738503,0.0005,0.598,1.847251357605274
66,0.8692000000000002,0.37906390797273454,0.0005,0.608,1.7254502301741346
67,0.8676666666666663,0.36564753860758303,0.0005,0.63,2.1531302131752987
68,0.8781333333333333,0.3458787692514673,0.0005,0.62,1.6747503299273256
69,0.8764,0.35456601920311764,0.0005,0.648,1.7878638303082226
70,0.8751333333333333,0.3518172322701222,0.0005,0.612,2.1730256656131584
71,0.8899999999999997,0.31240198599449814,0.0005,0.654,1.6788213353877532
72,0.8783333333333335,0.3497027750807571,0.0005,0.572,2.4039465652777756
73,0.8803333333333332,0.33384512815412165,0.0005,0.646,2.2221996402062167
74,0.8733333333333332,0.35685839422709764,0.0005,0.622,1.814322676315842
75,0.8919999999999998,0.30617444809933614,0.0005,0.608,1.695391752175139
76,0.8898666666666659,0.3178954758721786,0.0005,0.614,1.864642456336727
77,0.8882666666666669,0.3224714919846675,0.0005,0.576,2.225379000732326
78,0.8888666666666665,0.3195212733706714,0.0005,0.602,1.7959087022633944
79,0.8879333333333331,0.3334108248674326,0.0005,0.586,2.8165408747796272
80,0.9021999999999994,0.2745065673074788,0.00025,0.598,1.9512387024345685
81,0.9058666666666665,0.2673540546377618,0.00025,0.606,1.9544515913606058
82,0.8915999999999998,0.3010167895620645,0.00025,0.588,2.0206160719288206
83,0.9037333333333335,0.2729587467274722,0.00025,0.598,2.2723620823552237
84,0.9013333333333334,0.27321899295707125,0.00025,0.62,1.8186158168128435
85,0.9074666666666665,0.2641143694451467,0.00025,0.586,2.3248075928395946
86,0.9166666666666667,0.2371393231818798,0.00025,0.588,2.2376770654636653
87,0.9060666666666664,0.2676041128950801,0.00025,0.568,2.3957214433750287
88,0.9103999999999998,0.2501141479258118,0.00025,0.558,2.0683797301450797
89,0.9122000000000002,0.2443907276504167,0.00025,0.594,2.4446434629989664
90,0.9058000000000002,0.2615209397417504,0.00025,0.656,2.018241139734762
91,0.9114666666666662,0.2552447331097877,0.00025,0.614,2.234274658231253
92,0.9145999999999995,0.24020550380095407,0.00025,0.596,2.563536711959105
93,0.9134666666666663,0.24856162058772427,0.00025,0.586,2.183278601039591
94,0.9158666666666667,0.2430536403357021,0.00025,0.628,2.114143151080218
95,0.9216666666666665,0.22399421293582356,0.00025,0.594,2.0320830631346776
96,0.9140666666666667,0.24372144965356968,0.00025,0.626,2.085115340996627
97,0.9100666666666666,0.25955911130825776,0.00025,0.592,2.0909594906242672
98,0.9258666666666663,0.21805402368878155,0.00025,0.554,2.486965724098799
99,0.9095999999999997,0.2608409798819574,0.00025,0.618,2.027834752098811
100,0.9152000000000001,0.2375114353479809,0.00025,0.626,2.080093342838326
101,0.9189333333333333,0.23179963865935474,0.00025,0.586,2.6357365421318275
102,0.9135333333333326,0.23837210730419742,0.00025,0.568,2.2280185189314192
103,0.9188000000000001,0.23095185725034242,0.00025,0.574,2.3287179434147376
104,0.9098666666666666,0.24463078043726905,0.00025,0.562,2.7991661527290668
105,0.9113333333333336,0.25343904324276223,0.00025,0.644,1.7925040585185807
106,0.9182666666666667,0.23056728048029512,0.00025,0.562,2.5054729625473664
107,0.9146666666666667,0.2320946853463917,0.00025,0.622,2.2186798567617894
108,0.9101999999999997,0.2520025774340644,0.00025,0.558,2.3945946347125204
109,0.9216666666666669,0.21982870569648752,0.00025,0.61,2.2791425590828034
110,0.9258,0.20776960048432805,0.00025,0.554,2.476507134305736
111,0.9176000000000002,0.23353984784656506,0.00025,0.596,2.570549744757507
112,0.9330666666666666,0.1945788964423828,0.00025,0.578,2.5918100895899774
113,0.9166666666666663,0.2302735447772741,0.00025,0.588,2.2153274023291463
114,0.9208666666666665,0.2198429905594869,0.00025,0.494,2.975187122616692
115,0.9215333333333335,0.21563542507999325,0.00025,0.626,2.0555085039946968
116,0.9231333333333334,0.208621416135107,0.00025,0.574,2.464760724548439
117,0.9187333333333326,0.2297773929464002,0.00025,0.59,1.9320887539831675
118,0.9236,0.21727422592779871,0.00025,0.594,2.1239074616917795
119,0.9232666666666666,0.21668600263346616,0.00025,0.562,2.8376626718214735
120,0.9227999999999998,0.21829646821123938,0.000125,0.588,2.6531306617779578
121,0.9336666666666666,0.18721750270265036,0.000125,0.562,2.630369237175944
122,0.9392666666666666,0.1754967727020046,0.000125,0.582,2.4300706087681454
123,0.9391333333333333,0.17649890489675907,0.000125,0.59,2.5462423403510517
124,0.9271333333333328,0.20782748585491373,0.000125,0.548,2.3829380108584894
